,movie_name,movie_language,movie_genre
0,Valimai (U/A) -Tamil,TAMIL,U/A
1,Hey Sinamika (U) - Tamil,TAMIL,U
2,The Batman - Tamil,TAMIL,U/A
3,Jhund - Hindi,HINDI,TBA
4,Bheeshma Parvam (U/A) - Malayalam,MALAYALAM,U/A
5,Bheemla Nayak -  Telugu,TELUGU,U/A
6,Aadavallu Meeku Johaarlu (U) - Telugu,TELUGU,U
7,The Batman - English,ENGLISH,U/A
8,Naradan - Malayalam ,MALAYALAM,U/A
9,Gangubai Kathiawadi - Hindi,HINDI,TBA
10,Sebastian PC 524 (U/A) - Telugu,TELUGU,U/A
11,FIR (U/A) - Tamil,TAMIL,U/A
12,Aadaalloo Meeku Johaarlu - Telugu ,TELUGU,TBA
13,Muthal Manithan (U) - Tamil,TAMIL,U
14,Uncharted(U/A)- English ,ENGLISH,U/A
15,Uncharted(U/A)-Tamil,TAMIL,U/A
16,The Godfather (A) - English,ENGLISH,A
17,Kadaisi Vivasayi (U) - Tamil,TAMIL,U
18,Moonfall(U/A)-English  ,ENGLISH,U/A
19,Vinnaithaandi Varuvaayaa (U/A) - Tamil ,TAMIL,U/A
20,Hridayam - Malayalam,MALAYALAM,TBA
21,Upacharapoorvam Gunda Jayan (U) - Malayalam,MALAYALAM,U
22,Spider Man No Way Home (U/A) - Tamil 3D,TAMIL,U/A
23,Sword Art Online Progressive - Aria Of A Starless Night (U) - Japanese,JAPANESE,U
24,Licorice Pizza (A) - English,ENGLISH,A
25,Hey Sinamika,TAMIL,U
26,Muthal Manithan,TAMIL,U
27,Etharkkum Thunindhavan - Tamil,TAMIL,TBA
28,Radhe Shyam,TAMIL,TBA
29,Jhund,HINDI,TBA
30,One Story Many Ends-Hindi,HINDI,TBA
31,The Batman,HINDI,U/A
32,Toolsidas Junior ,HINDI,U
33,Etharkkum Thunindhavan - Hindi,HINDI,TBA
34,The Kashmir Files - ,HINDI,TBA
35,Radhe Shyam,HINDI,TBA
36,Bachchan Pandey ,HINDI,TBA
37,The Batman,ENGLISH,U/A
38,The Batman,ENGLISH,U/A
39,Hey Sinamika,TELUGU,U
40,Aadavallu Meeku Johaarlu,TELUGU,U
41,The Batman,TELUGU,U/A
42,Sebastian PC 524 ,TELUGU,U/A
43,Etharkkum Thunindhavan - Telugu,TELUGU,TBA
44,Radhe Shyam,TELUGU,TBA
45,Acharya,TELUGU,TBA
46,Naradan,MALAYALAM,U/A
47,Bheeshma Parvam,MALAYALAM,U/A
48,Etharkkum Thunindhavan - Malayalam,MALAYALAM,TBA
49,Radhe Shyam,MALAYALAM,TBA
50,Hey Sinamika,KANNADA,U
51,Smashanti,KANNADA,TBA
52,Radhe Shyam,KANNADA,TBA
53,James - Kannada,KANNADA,TBA
54,Dear Father (Gujarati),GUJARATHI,U/A
