,Sqft area,Location,month_rent,deposit,building name,broker name,posted on
0,3500 Sq Feet SEZ ,"Guindy,Chennai","('262,000', '/month')","2,000,000",Industrialestate,SriLavanyaReality,Mar302021
1,1650 sqft ,"Guindy,Chennai","('105,000', '/month')","100,000",Industrialestate,TamilanProperty,Nov282020
2,1100 sqft ,"Guindy,Chennai","('35,000', '/month')","350,000",CommercialBuilding,S.N.Enterprises,Feb082021
3,3200 sqft ,"Guindy,Chennai","('270,000', '/month')","2,700,000",Nill,OmSriSairamEstates,Dec212020
4,450 sqft ,"Guindy,Chennai","('8,000', '/month')","50,000",MUTHURADHAHOMES,ManishaRealEstate,Oct212020
5,2000 sqft ,"Guindy,Chennai","('120,000', '/month')","100,000",Office,TamilanProperty,Dec012020
6,700 sqft ,"Saidapet,Guindy,Chennai","('35,500', '/month')","355,000",CommercialBuilding,S.N.Enterprises,Aug262020
7,850 sqft ,"Guindy,Chennai","('16,000', '/month')","150,000",PRIYAHOMES,ManishaRealEstate,Feb122021
8,3963 sqft ,"Guindy,Chennai","('208,000', '/month')","2,000,000",Tamilanproperty,TamilanProperty,Aug302020
9,1300 sqft ,"Guindy,Chennai","('45,500', '/month')","455,000",CommercialBuilding,S.N.Enterprises,Mar172020
10,1000 sqft ,"Guindy,Chennai","('20,000', '/month')","150,000",Priyahomes,ManishaRealEstate,Feb192021
11,3100 sqft ,"Guindy,Chennai","('210,000', '/month')","2,000,000",Officespace,TamilanProperty,Feb102021
12,1150 sqft ,"Saidapet,Guindy,Chennai","('46,000', '/month')","460,000",CommercialBuilding,S.N.Enterprises,Aug262020
13,3187 sqft ,"Guindy,Chennai","('224,000', '/month')","2,000,000",Tamilanproperty,TamilanProperty,Aug302020
14,1200 sqft ,"Saidapet,Guindy,Chennai","('50,000', '/month')","500,000",CommercialBuilding,S.N.Enterprises,Aug242020
